ID,Groups,Description,Baseline [02-26 18:04],[02-26 18:14],[02-26 18:22],[02-26 18:27],[02-26 18:38],[02-26 18:46],[02-26 18:53],[02-26 19:00],[02-26 19:00],[02-26 19:09],[02-26 19:16],[02-26 21:18],[02-26 21:31],[02-26 22:05],[02-26 22:09],[02-27 04:01],[02-27 04:03],[02-27 05:28],[02-27 05:34],[02-27 05:40],[02-27 05:52],[02-27 06:06],[02-27 06:11],[02-27 06:13],[02-27 06:23],[02-27 06:33],[02-27 07:03],[02-27 07:12],[02-27 07:33],[02-27 07:35],[02-27 07:43],[02-27 07:51],[02-27 08:00],[02-27 08:10],[02-27 10:35],[02-27 10:43],[02-27 11:01],[02-27 11:05],[02-27 11:13],[02-27 11:21],[02-27 11:28],[02-27 11:29],[02-27 11:35],[02-27 11:38],[02-27 12:12],[02-27 13:43],[02-27 13:55],[06-05 11:09],[06-07 13:36]
G-FLP-32,Flutter Pattern Generation > RC-9e: Generic num bound preservation,AbstractLayoutBuilderGenericLike<C> method arg keeps bound type instead of dynamic. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-24,Flutter Pattern Generation > RC-9c: Generic upper bound preservation,SlottedWidgetLike preserves R extends Object in constructor extraction. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
DCL-EXT-004,DCli Bridge Gaps > Extension Callback Wrapping,Extension callback should use InterpretedFunction wrapper [2026-02-11] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-51,Flutter Pattern Generation > RC-8.2: Callback return type preservation,"Covariant slotted render-object parameter keeps mixin type, not base RenderObjectLike. [2026-02-27] (FAIL)",--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-50,Flutter Pattern Generation > RC-8.2: Callback return type preservation,"Recursive slotted render-object generic uses concrete child type, not base RenderObjectLike. [2026-02-27] (FAIL)",--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-49,Flutter Pattern Generation > RC-8.2: Callback return type preservation,Prefixed generic type argument in Future<T> does not collapse to dynamic. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-48,Flutter Pattern Generation > RC-8.2: Callback return type preservation,Generic render-object subtype is preserved in updateRenderObject extraction. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-47,Flutter Pattern Generation > RC-8.2: Callback return type preservation,Required named Future<ConcreteType> parameter is not degraded to Future<dynamic>. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FGEN-01,File generators,Barrel exports are relative to barrelPath directory. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-39,Flutter Pattern Generation > RC-1c: External default gaps,External non-nullable named params do not degrade to nullable extraction. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
